,year,percentage_women,entropy_of_topic_distribution,number_of_articles
0,1951,0.06153846153846154,3.678012493159625,65
1,1952,0.0625,3.7326099784828273,64
2,1953,0.08333333333333333,3.6918340605434308,60
3,1954,0.11764705882352941,3.7361228684591703,68
4,1955,0.1125,3.780506655125988,80
5,1956,0.1506849315068493,3.791337195474166,73
6,1957,0.045454545454545456,3.787916354018679,66
7,1958,0.07792207792207792,3.9265082829383773,77
8,1959,0.1348314606741573,3.9792134169544524,89
9,1960,0.05660377358490566,4.013869581356946,106
10,1961,0.13274336283185842,3.979555813543034,113
11,1962,0.047619047619047616,3.999817649189553,105
12,1963,0.05555555555555555,3.753145571572097,108
13,1964,0.04854368932038835,3.98427728112275,103
14,1965,0.05357142857142857,3.9613872209711993,112
15,1966,0.09345794392523364,3.9298287167088857,107
16,1967,0.05357142857142857,3.908181893622095,112
17,1968,0.09448818897637795,4.032315542188541,127
18,1969,0.05755395683453238,4.027579389303606,139
19,1970,0.0916030534351145,4.038804489989518,131
20,1971,0.11042944785276074,4.0832362154759485,163
21,1972,0.10273972602739725,4.08440281235269,146
22,1973,0.11363636363636363,4.0727678906207165,132
23,1974,0.1527777777777778,4.056239841257163,144
24,1975,0.12658227848101267,4.0359773841094055,158
25,1976,0.17341040462427745,4.01072558889672,173
26,1977,0.12777777777777777,4.034808319155303,180
27,1978,0.1839080459770115,4.06316685361519,174
28,1979,0.10752688172043011,4.052654837265558,186
29,1980,0.13259668508287292,4.002457762907248,181
30,1981,0.16292134831460675,4.114021960941759,178
31,1982,0.21022727272727273,4.100950942797092,176
32,1983,0.19889502762430938,4.008646128695461,181
33,1984,0.24050632911392406,4.140786749856581,158
34,1985,0.16339869281045752,4.081972148216406,153
35,1986,0.21951219512195122,4.105900611713182,205
36,1987,0.20454545454545456,4.1067537468136415,176
37,1988,0.22167487684729065,4.144494963709875,203
38,1989,0.20786516853932585,4.1271612781582085,178
39,1990,0.21739130434782608,4.132420180653014,207
40,1991,0.26540284360189575,4.179469502654278,211
41,1992,0.27230046948356806,4.159132536460464,213
42,1993,0.3170731707317073,4.252673536098265,205
43,1994,0.285,4.149291120431962,200
44,1995,0.23109243697478993,4.129251873904154,238
45,1996,0.30049261083743845,4.269200280661395,203
46,1997,0.3225806451612903,4.179955908509116,186
47,1998,0.23618090452261306,4.150758967105157,199
48,1999,0.27111111111111114,4.165970610652598,225
49,2000,0.3468208092485549,4.151681668486639,173
50,2001,0.29545454545454547,4.164127117235361,176
51,2002,0.302158273381295,4.100172566801579,139
52,2003,0.2328767123287671,4.100656618339055,146
53,2004,0.2595419847328244,4.12145696528982,131
54,2005,0.2945205479452055,4.100477518299996,146
55,2006,0.2865853658536585,4.11371106507283,164
56,2007,0.32142857142857145,4.109741043175819,196
57,2008,0.37058823529411766,4.138323560692982,170
58,2009,0.36787564766839376,4.088734587344826,193
59,2010,0.37628865979381443,4.101686313935502,194
60,2011,0.3448275862068966,4.11658526804355,203
61,2012,0.4020618556701031,4.133622131204388,194
62,2013,0.3902439024390244,3.6139957615760903,41
63,2014,0.2631578947368421,3.3465755890155067,19
