,name,original,gender_guesser,census
0,Tracy Neal Leavelle,female,mostly_female,male
1,Jan Marten W. Schalkwijk,female,mostly_female,male
2,Anne-marie York,female,unknown,unknown
3,Leslie Henry Goldsmith,female,male,male
4,Rai Imani Wilson,male,female,female
5,Ari Ariel,male,male,andy
6,Javier F. Marion,male,andy,male
7,Kim Ngoc Bao Ninh,female,mostly_female,andy
8,Alex Cummings,male,andy,male
9,Robin Espy Robinson,female,andy,mostly_female
10,Linn Shapiro,female,female,andy
11,Robin Dell Campbell,female,male,mostly_female
12,Neysa Rodriguez,female,unknown,female
13,Gwenn A. Miller,female,andy,female
14,Lynn Wayne Tatum,female,mostly_female,male
15,Jamie Jaywann Wilson,male,mostly_female,andy
16,Tracy Tullis,female,mostly_female,andy
17,Javier Villa-flores,male,andy,male
18,Eli T. Plopper,male,andy,male
19,Shelley Clyde Stone,male,female,female
20,Robin Fleming,female,andy,mostly_female
21,Loren B. Thompson,female,mostly_male,andy
22,Gisele L. Fong,female,unknown,female
23,Felice Dosik Gordon,female,male,mostly_female
24,Dana Roby Miller,female,female,male
25,Lynn Dumenil,female,mostly_female,andy
26,Jaime O. Cardenas,male,andy,andy
27,Jamie C. Saucier,male,mostly_female,andy
28,Bergmark Ley,male,unknown,unknown
29,Lynn Mcclary Hawkins,female,mostly_female,andy
30,Ann-marie Woolnough Scheidt,female,unknown,unknown
31,Robin Edward Baker,female,male,mostly_female
32,Augustine Nigro,male,mostly_male,andy
33,Nalani E. Hilderman,female,unknown,female
34,Leslie Scott Offutt,female,male,male
35,Jan Fleener Scholl,female,mostly_female,andy
36,Tracy Lynn Brady,female,mostly_female,andy
37,Kim Jacks,female,mostly_female,andy
38,Afroz ,female,unknown,unknown
39,Yuri Felshtinsky,male,male,andy
40,Glen Wesley Menzies,female,male,male
41,Kim Brinck-johnsen,female,mostly_female,andy
42,Jaime Alanis,male,andy,andy
43,Jan Richard Heier,female,mostly_female,male
44,Torrie Hester,female,mostly_female,andy
45,Cristen Paige Copeland,female,unknown,female
46,Jean S. Kang,female,andy,female
47,Shelley Anne Costa,male,female,female
48,Taylor Hollander,male,mostly_male,andy
49,Kela Shang,female,unknown,female
50,Leslie Parker Bryant Hume,female,andy,andy
51,Loren L. Brandt,female,mostly_male,andy
52,Marsh Wilkinson Jones,male,unknown,male
53,Michel Pichot,male,male,andy
54,Marian E. Schlotterbeck,female,andy,female
55,Jean Hodgin Daniels,female,andy,female
56,Tracy Marafiote,female,mostly_female,andy
57,Kary D. Smout,female,mostly_female,andy
58,Alexi Josephine Assmus,female,male,female
59,Natale A. Zappia,male,male,andy
60,Leslie Ritt Berlin,female,andy,andy
61,Jean Fittz Hankins,female,andy,female
62,Noell Howell Wilson,female,male,mostly_female
63,Paige W. Roberts,female,andy,female
64,Eli Cook,male,andy,male
65,Jayme Millsap Stone,female,mostly_male,andy
66,Merril D. Smith,male,unknown,mostly_male
67,Jan Gregory Thompson,female,mostly_female,male
68,Nayan Bhupendra Shah,male,unknown,male
69,Punita Raval Arora,female,unknown,unknown
70,Jody Lee Peterson,female,mostly_female,andy
71,Rukhsana Qamber,female,female,unknown
72,Leslie Brown,female,andy,andy
73,Frankie P. Hutton,male,andy,andy
74,Nan Alamilla Boyd,female,female,unknown
75,Ali Hussain Algahtani,female,male,male
76,Whitney Lutricia Battle,female,andy,female
77,Leslie Wallace Skinner,female,male,male
78,Shepherd W. Mckinley,male,unknown,male
79,Shelley Marie Lucas,male,female,female
80,Eran Fraenkel,female,male,mostly_male
81,Alex M. Spencer,male,andy,male
82,Bonni Kay Cermak,female,unknown,female
83,Robin Dearmon Jenkins,female,andy,mostly_female
84,Alex Lovit,male,andy,male
85,Ravi Ramamurti,male,andy,male
86,Leslie Citron,female,andy,andy
87,Haydon Leslie Cherry,male,unknown,mostly_male
88,Lyndell O'hara,female,unknown,andy
89,Rogers Blood Miles,male,unknown,male
90,Glen Anthony Harris,female,male,male
91,Floris Loretta Barnett Cash,female,male,female
92,Noam Maggor,male,andy,mostly_male
93,Tracy K. Flemming,female,mostly_female,andy
94,Whitney E. Smith,female,andy,mostly_female
95,Rene Luis Alvarez,female,male,male
96,Rory John Telander,female,male,male
97,Jean Waters Thomas,female,andy,female
98,Maggi M. Morehouse,female,unknown,female
