first_name,last_name,count,prob_male_census,guess_census,guess_gender_guesser,human_check_necessary,final_gender,Names remaining: 2
W. E.,Mosse,1,unknown,unknown,unknown,FALSE,male,https://www.google.com/search?q=W. E.+Mosse+history
W. E.,Tate,1,unknown,unknown,unknown,FALSE,male,https://www.google.com/search?q=W. E.+Tate+history
W. E.,Willmott,1,unknown,unknown,unknown,FALSE,NA,https://www.google.com/search?q=W. E.+Willmott+history
W. F.,Wertheim,1,unknown,unknown,unknown,FALSE,male,https://www.google.com/search?q=W. F.+Wertheim+history
W. G.,Runciman,3,unknown,unknown,unknown,FALSE,male,https://www.google.com/search?q=W. G.+Runciman+history
W. G. L.,de Haas,1,unknown,unknown,unknown,FALSE,NA,https://www.google.com/search?q=W. G. L.+de Haas+history
Nicola,Miller,1,35% male,andy,female,FALSE,female,"https://www.google.com/search?q=""Nicola+Miller+history"
Nur Bilge,Criss,1,26% male,andy,female,FALSE,female,"https://www.google.com/search?q=Nur Bilge+Criss""+history"
Valentine M.,Moghadam,1,77% male,andy,female,FALSE,female,https://www.google.com/search?q=Valentine M.+Moghadam+history
Andree,Demers,1,32% male,andy,male,FALSE,female,https://www.google.com/search?q=Andree+Demers+history
Dee,Garrison,1,30% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Dee+Garrison+history
Jamie J.,Fader,2,24% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Jamie J.+Fader+history
Kim,England,1,16% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Kim+England+history
Kim,Phillips-Fein,2,16% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Kim+Phillips-Fein+history
Kim Lacy,Rogers,1,16% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Kim Lacy+Rogers+history
Lyn,Spillman,1,18% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Lyn+Spillman+history
Tracy,McDonald,1,20% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Tracy+McDonald+history
Tracy E.,K'Meyer,1,20% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Tracy E.+K'Meyer+history
Lee,McIsaac,1,79% male,andy,mostly_male,FALSE,female,https://www.google.com/search?q=Lee+McIsaac+history
Lee,Quinby,1,79% male,andy,mostly_male,FALSE,female,https://www.google.com/search?q=Lee+Quinby+history
Merle,Goldman,1,68% male,andy,mostly_male,FALSE,female,https://www.google.com/search?q=Merle+Goldman+history
Hildred,Geertz,1,16% male,andy,unknown,FALSE,female,https://www.google.com/search?q=Hildred+Geertz+history
Lyndal,Roper,1,56% male,andy,unknown,FALSE,female,https://www.google.com/search?q=Lyndal+Roper+history
Nguyen Thi,Dieu,1,79% male,andy,unknown,FALSE,female,https://www.google.com/search?q=Nguyen Thi+Dieu+history
Page Putnam,Miller,1,28% male,andy,unknown,FALSE,female,https://www.google.com/search?q=Page Putnam+Miller+history
Perrin,Rowland,1,76% male,andy,unknown,FALSE,female,https://www.google.com/search?q=Perrin+Rowland+history
Tanis C.,Thorne,1,34% male,andy,unknown,FALSE,female,https://www.google.com/search?q=Tanis C.+Thorne+history
Jean A.,Shackelford,1,5% male,female,andy,FALSE,female,https://www.google.com/search?q=Jean A.+Shackelford+history
Jean H.,Quataert,2,5% male,female,andy,FALSE,female,https://www.google.com/search?q=Jean H.+Quataert+history
Olwen,Hufton,1,0% male,female,andy,FALSE,female,https://www.google.com/search?q=Olwen+Hufton+history
Suad,Joseph,1,2% male,female,male,FALSE,female,https://www.google.com/search?q=Suad+Joseph+history
Bonnie,Brennen,1,1% male,female,mostly_female,FALSE,female,https://www.google.com/search?q=Bonnie+Brennen+history
Bonnie,Glass-Coffin,1,1% male,female,mostly_female,FALSE,female,https://www.google.com/search?q=Bonnie+Glass-Coffin+history
Bonnie,Smith,1,1% male,female,mostly_female,FALSE,female,https://www.google.com/search?q=Bonnie+Smith+history
Bonnie G.,Smith,3,1% male,female,mostly_female,FALSE,female,https://www.google.com/search?q=Bonnie G.+Smith+history
Bonnie J.,McCay,1,1% male,female,mostly_female,FALSE,female,https://www.google.com/search?q=Bonnie J.+McCay+history
Connie Y.,Chiang,1,2% male,female,mostly_female,FALSE,female,https://www.google.com/search?q=Connie Y.+Chiang+history
Gail,Bossenga,1,4% male,female,mostly_female,FALSE,female,https://www.google.com/search?q=Gail+Bossenga+history
Gail,Hershatter,1,4% male,female,mostly_female,FALSE,female,https://www.google.com/search?q=Gail+Hershatter+history
Gail,Radford,1,4% male,female,mostly_female,FALSE,female,https://www.google.com/search?q=Gail+Radford+history
Gail,Ringel,1,4% male,female,mostly_female,FALSE,female,https://www.google.com/search?q=Gail+Ringel+history
Gail Buchwalter,King,1,4% male,female,mostly_female,FALSE,female,https://www.google.com/search?q=Gail Buchwalter+King+history
Gail H.,Landsman,2,4% male,female,mostly_female,FALSE,female,https://www.google.com/search?q=Gail H.+Landsman+history
Gail L.,Savage,2,4% male,female,mostly_female,FALSE,female,https://www.google.com/search?q=Gail L.+Savage+history
Gail P.,Kelly,1,4% male,female,mostly_female,FALSE,female,https://www.google.com/search?q=Gail P.+Kelly+history
Lindsey,Patterson,1,5% male,female,mostly_female,FALSE,female,https://www.google.com/search?q=Lindsey+Patterson+history
Cissie,Fairchilds,2,0% male,female,unknown,FALSE,female,https://www.google.com/search?q=Cissie+Fairchilds+history
Haidy,Geismar,1,0% male,female,unknown,FALSE,female,https://www.google.com/search?q=Haidy+Geismar+history
Haripriya,Narasimhan,1,0% male,female,unknown,FALSE,female,https://www.google.com/search?q=Haripriya+Narasimhan+history
Lani,Guinier,1,3% male,female,unknown,FALSE,female,https://www.google.com/search?q=Lani+Guinier+history
Liah,Greenfeld,1,0% male,female,unknown,FALSE,female,https://www.google.com/search?q=Liah+Greenfeld+history
Liette,Gidlow,1,0% male,female,unknown,FALSE,female,https://www.google.com/search?q=Liette+Gidlow+history
Linea,Sundstrom,1,0% male,female,unknown,FALSE,female,https://www.google.com/search?q=Linea+Sundstrom+history
Manali,Desai,1,0% male,female,unknown,FALSE,female,https://www.google.com/search?q=Manali+Desai+history
Mehreen,M-Chida-Razvi,1,0% male,female,unknown,FALSE,female,https://www.google.com/search?q=Mehreen+M-Chida-Razvi+history
Mervat,Hatem,1,0% male,female,unknown,FALSE,female,https://www.google.com/search?q=Mervat+Hatem+history
Sheilagh,Ogilvie,1,0% male,female,unknown,FALSE,female,https://www.google.com/search?q=Sheilagh+Ogilvie+history
Sydel F.,Silverman,1,0% male,female,unknown,FALSE,female,https://www.google.com/search?q=Sydel F.+Silverman+history
Jess Stoddart,Flemion,1,98% male,male,andy,FALSE,female,https://www.google.com/search?q=Jess Stoddart+Flemion+history
Dace,Dzenovska,1,96% male,male,female,FALSE,female,https://www.google.com/search?q=Dace+Dzenovska+history
Clare,Corbould,1,9% male,mostly_female,female,FALSE,female,https://www.google.com/search?q=Clare+Corbould+history
Ester,Boserup,1,6% male,mostly_female,female,FALSE,female,https://www.google.com/search?q=Ester+Boserup+history
Fran,Markowitz,1,7% male,mostly_female,female,FALSE,female,https://www.google.com/search?q=Fran+Markowitz+history
Hanan,Hammad,1,6% male,mostly_female,female,FALSE,female,https://www.google.com/search?q=Hanan+Hammad+history
Tamar,Groves,1,13% male,mostly_female,female,FALSE,female,https://www.google.com/search?q=Tamar+Groves+history
Fay,Yarbrough,1,11% male,mostly_female,mostly_female,FALSE,female,https://www.google.com/search?q=Fay+Yarbrough+history
Kelly Lytle,Hernández,1,15% male,mostly_female,mostly_female,FALSE,female,https://www.google.com/search?q=Kelly Lytle+Hernández+history
Leigh,Raiford,1,11% male,mostly_female,mostly_female,FALSE,female,https://www.google.com/search?q=Leigh+Raiford+history
Shannon R.,Brown,1,15% male,mostly_female,mostly_female,FALSE,female,https://www.google.com/search?q=Shannon R.+Brown+history
Stacey,Pierson,1,9% male,mostly_female,mostly_female,FALSE,female,https://www.google.com/search?q=Stacey+Pierson+history
Stacy A.,Flaherty,1,12% male,mostly_female,mostly_female,FALSE,female,https://www.google.com/search?q=Stacy A.+Flaherty+history
Stacy Leigh,Pigg,1,12% male,mostly_female,mostly_female,FALSE,female,https://www.google.com/search?q=Stacy Leigh+Pigg+history
Tracey,Banivanua-Mar,1,9% male,mostly_female,mostly_female,FALSE,female,https://www.google.com/search?q=Tracey+Banivanua-Mar+history
Jun,Uchida,1,92% male,mostly_male,andy,FALSE,female,https://www.google.com/search?q=Jun+Uchida+history
Carroll,Smith-Rosenberg,2,85% male,mostly_male,mostly_male,FALSE,female,https://www.google.com/search?q=Carroll+Smith-Rosenberg+history
Dale M.,Hellegers,1,93% male,mostly_male,mostly_male,FALSE,female,https://www.google.com/search?q=Dale M.+Hellegers+history
Gene,Weltfish,1,95% male,mostly_male,mostly_male,FALSE,female,https://www.google.com/search?q=Gene+Weltfish+history
Choi,Chatterjee,1,unknown,unknown,andy,FALSE,female,https://www.google.com/search?q=Choi+Chatterjee+history
Hui-Wen,Koo,1,unknown,unknown,andy,FALSE,female,https://www.google.com/search?q=Hui-Wen+Koo+history
Liu,Xinru,1,unknown,unknown,andy,FALSE,female,https://www.google.com/search?q=Liu+Xinru+history
María E.,Montoya,1,unknown,unknown,andy,FALSE,female,https://www.google.com/search?q=María E.+Montoya+history
Bénédicte,Zimmermann,1,unknown,unknown,female,FALSE,female,https://www.google.com/search?q=Bénédicte+Zimmermann+history
Firoozeh,Kashani-Sabet,1,unknown,unknown,female,FALSE,female,https://www.google.com/search?q=Firoozeh+Kashani-Sabet+history
Gigliola,Fragnito,1,unknown,unknown,female,FALSE,female,https://www.google.com/search?q=Gigliola+Fragnito+history
Mahua,Sarkar,1,unknown,unknown,female,FALSE,female,https://www.google.com/search?q=Mahua+Sarkar+history
Mine,Ener,1,unknown,unknown,female,FALSE,female,https://www.google.com/search?q=Mine+Ener+history
Sølvi,Sogner,1,unknown,unknown,female,FALSE,female,https://www.google.com/search?q=Sølvi+Sogner+history
Temma,Kaplan,1,unknown,unknown,female,FALSE,female,https://www.google.com/search?q=Temma+Kaplan+history
Vinciane,Despret,1,unknown,unknown,female,FALSE,female,https://www.google.com/search?q=Vinciane+Despret+history
Cornelie,Usborne,1,unknown,unknown,male,FALSE,female,https://www.google.com/search?q=Cornelie+Usborne+history
Fath Davis,Ruffins,1,unknown,unknown,male,FALSE,female,https://www.google.com/search?q=Fath Davis+Ruffins+history
Jo-Ann,Pilardi,1,unknown,unknown,unknown,FALSE,female,https://www.google.com/search?q=Jo-Ann+Pilardi+history
Jo-Anne,Fiske,1,unknown,unknown,unknown,FALSE,female,https://www.google.com/search?q=Jo-Anne+Fiske+history
Judith-Maria,Buechler,2,unknown,unknown,unknown,FALSE,female,https://www.google.com/search?q=Judith-Maria+Buechler+history
Kären,Wigen,1,unknown,unknown,unknown,FALSE,female,https://www.google.com/search?q=Kären+Wigen+history
Kären E.,Wigen,1,unknown,unknown,unknown,FALSE,female,https://www.google.com/search?q=Kären E.+Wigen+history
Dominique,Moran,1,31% male,andy,andy,FALSE,female,https://www.google.com/search?q=Dominique+Moran+history
Gaynor,Kavanagh,1,48% male,andy,andy,FALSE,female,https://www.google.com/search?q=Gaynor+Kavanagh+history
Hong,Kal,1,30% male,andy,andy,FALSE,female,https://www.google.com/search?q=Hong+Kal+history
Jaime,Schultz,1,57% male,andy,andy,FALSE,female,https://www.google.com/search?q=Jaime+Schultz+history
Kerry,Ward,1,51% male,andy,andy,FALSE,female,https://www.google.com/search?q=Kerry+Ward+history
Kerry,Abel,1,51% male,andy,andy,FALSE,female,https://www.google.com/search?q=Kerry+Abel+history
Leslie,Butler,1,29% male,andy,andy,FALSE,female,https://www.google.com/search?q=Leslie+Butler+history
Leslie,Peirce,1,29% male,andy,andy,FALSE,female,https://www.google.com/search?q=Leslie+Peirce+history
Leslie J.,Reagan,1,29% male,andy,andy,FALSE,female,https://www.google.com/search?q=Leslie J.+Reagan+history
Leslie Page,Moch,2,29% male,andy,andy,FALSE,female,https://www.google.com/search?q=Leslie Page+Moch+history
Leslie Woodcock,Tentler,1,29% male,andy,andy,FALSE,female,https://www.google.com/search?q=Leslie Woodcock+Tentler+history
Li,Narangoa,1,31% male,andy,andy,FALSE,female,https://www.google.com/search?q=Li+Narangoa+history
Pat,Thane,1,40% male,andy,andy,FALSE,female,https://www.google.com/search?q=Pat+Thane+history
Rama,Mantena,1,16% male,andy,andy,FALSE,female,https://www.google.com/search?q=Rama+Mantena+history
Sai,Bhatawadekar,1,76% male,andy,andy,FALSE,female,https://www.google.com/search?q=Sai+Bhatawadekar+history
Sun Joo,Kim,1,45% male,andy,andy,FALSE,female,https://www.google.com/search?q=Sun Joo+Kim+history
Wei,Li,1,78% male,andy,andy,FALSE,female,https://www.google.com/search?q=Wei+Li+history
Yu,Liu,3,50% male,andy,andy,FALSE,female,https://www.google.com/search?q=Yu+Liu+history
Dana,Lepofsky,1,22% male,andy,female,FALSE,female,https://www.google.com/search?q=Dana+Lepofsky+history
