,name_raw,name,actual,score_actual,guess_orig,score_orig,guess_naive,score_naive,guess_complex,score_complex,dif_orig_naive,dif_orig_complex,dif_naive_complex,,dif_act_orig,dif_act_complex
7592,"messer,_glen_alton,_ii:0","Messer, Glen Alton, Ii",male,1,female,5,male,1,male,1,4,4,0,,4,0
7745,"barnes,_robin_bruce:0","Barnes, Robin Bruce",male,1,female,5,mostly_female,4,male,1,1,4,3,,4,0
8094,"wiersema,_courtney_lynne:0","Wiersema, Courtney Lynne",female,5,male,1,mostly_female,4,female,5,3,4,1,,4,0
8161,"wolbrink,_shelley_amiste:0","Wolbrink, Shelley Amiste",,3,male,1,female,5,female,5,4,4,0,,2,2
8177,"haslip,_gabriel_james:0","Haslip, Gabriel James",,3,female,5,mostly_male,2,male,1,3,4,1,,2,2
8212,"tuttle,_gray_warren:0","Tuttle, Gray Warren",,3,female,5,andy,3,male,1,2,4,2,,2,2
8354,"denery,_dallas_george,_ii:0","Denery, Dallas George, Ii",,3,female,5,mostly_male,2,male,1,3,4,1,,2,2
8393,"taylor,_patty_ann:0","Taylor, Patty Ann",,3,male,1,female,5,female,5,4,4,0,,2,2
8483,"kholaif,_ali_ibrahim:0","Kholaif, Ali Ibrahim",,3,female,5,mostly_male,2,male,1,3,4,1,,2,2
8498,"tatalovich,_dael_alan:0","Tatalovich, Dael Alan",,,female,5,unknown,3,male,1,2,4,2,,,
9529,"tollison,_courtney_louise:0","Tollison, Courtney Louise",,,male,1,mostly_female,4,female,5,3,4,1,,,
9701,"hazkani,_shay:0","Hazkani, Shay",,,female,5,andy,3,male,1,2,4,2,,,
9849,"finkelstein,_gabriel_ward:0","Finkelstein, Gabriel Ward",,,female,5,mostly_male,2,male,1,3,4,1,,,
10006,"balzer,_harley_david:0","Balzer, Harley David",,,female,5,mostly_male,2,male,1,3,4,1,,,
10219,"crow,_loren_david:0","Crow, Loren David",,,female,5,mostly_male,2,male,1,3,4,1,,126,70
10365,"bunch,_clea_lutz:0","Bunch, Clea Lutz",,,female,5,unknown,3,male,1,2,4,2,,,
10531,"mclaughlin,_glen_wade:0","Mclaughlin, Glen Wade",,,female,5,male,1,male,1,4,4,0,,,
11311,"bakhle,_janaki:0","Bakhle, Janaki",,,female,5,andy,3,male,1,2,4,2,,,
11387,"nickles,_shelley_kaplan:0","Nickles, Shelley Kaplan",,,male,1,female,5,female,5,4,4,0,,,
11408,"kilson,_robin_wallace:0","Kilson, Robin Wallace",,,female,5,mostly_female,4,male,1,1,4,3,,,
11580,"dahms,_gabriele_barbara:0","Dahms, Gabriele Barbara",,,male,1,andy,3,female,5,2,4,2,,,
11711,"phelps,_jamie_theresa:0","Phelps, Jamie Theresa",,,male,1,mostly_female,4,female,5,3,4,1,,,
11928,"walz,_robin_roy:0","Walz, Robin Roy",,,female,5,mostly_female,4,male,1,1,4,3,,,
12081,"barrett,_roby_carol:0","Barrett, Roby Carol",,,female,5,andy,3,male,1,2,4,2,,,
12229,"williams,_harley_wesley:0","Williams, Harley Wesley",,,female,5,mostly_male,2,male,1,3,4,1,,,
12396,"thompson,_courtney_elizabeth:0","Thompson, Courtney Elizabeth",,,male,1,mostly_female,4,female,5,3,4,1,,,
12817,"barrett,_aubrey_wayne,_jr.:0","Barrett, Aubrey Wayne, Jr.",,,female,5,andy,3,male,1,2,4,2,,,
12840,"upton,_bryn_eric:0","Upton, Bryn Eric",,,female,5,andy,3,male,1,2,4,2,,,
12918,"moses,_maryam_iya-ilu:0","Moses, Maryam Iya Ilu",,,male,1,andy,3,female,5,2,4,2,,,
13092,"bartlett,_jamie_claire:0","Bartlett, Jamie Claire",,,male,1,mostly_female,4,female,5,3,4,1,,,
13094,"luckhardt,_courtney:0","Luckhardt, Courtney",,,male,1,mostly_female,4,female,5,3,4,1,,,
13435,"kuecker,_glen_david:0","Kuecker, Glen David",,,female,5,male,1,male,1,4,4,0,,,
13462,"pedersen,_kai_roger:0","Pedersen, Kai Roger",,,female,5,andy,3,male,1,2,4,2,,,
13525,"campbell,_courtney_jeanette:1","Campbell, Courtney Jeanette",,,male,1,mostly_female,4,female,5,3,4,1,,,
13529,"nassar,_maha_tawfik:0","Nassar, Maha Tawfik",,,male,1,andy,3,female,5,2,4,2,,,
13626,"fullilove,_courtney:0","Fullilove, Courtney",,,male,1,mostly_female,4,female,5,3,4,1,,,
13670,"gatch,_loren_clark:0","Gatch, Loren Clark",,,female,5,mostly_male,2,male,1,3,4,1,,,
13756,"girard,_philippe_r.:0","Girard, Philippe R.",,,female,5,andy,3,male,1,2,4,2,,,
