,name_raw,name,actual,score_actual,guess_orig,score_orig,guess_naive,score_naive,guess_complex,score_complex,dif_orig_naive,dif_orig_complex,dif_naive_complex,,dif_act_orig,dif_act_complex
2161,"blackwell,_martin_j.:0","Blackwell, Martin J.",,,male,1,male,1,male,1,0,0,0,,,
2162,"rosemblatt,_karin_alejandra:0","Rosemblatt, Karin Alejandra",,,female,5,andy,3,female,5,2,0,2,,,
2163,"roazen-parrillo,_diane:0","Roazen Parrillo, Diane",,,female,5,female,5,female,5,0,0,0,,,
2164,"guerra,_anthony_j.:0","Guerra, Anthony J.",,,male,1,male,1,male,1,0,0,0,,,
2165,"catapano,_peter:0","Catapano, Peter",,,male,1,male,1,male,1,0,0,0,,,
2166,"njoroge,_lawrence:0","Njoroge, Lawrence",,,male,1,male,1,male,1,0,0,0,,,
2167,"hostetter,_david:0","Hostetter, David",,,male,1,male,1,male,1,0,0,0,,,
2168,"sherwood,_john_darrell:0","Sherwood, John Darrell",,,male,1,male,1,male,1,0,0,0,,,
2169,"gallegos,_bernardo_phillip:0","Gallegos, Bernardo Phillip",,,male,1,andy,3,male,1,2,0,2,,,
2170,"nelson,_marilyn:0","Nelson, Marilyn",,,female,5,female,5,female,5,0,0,0,,,
2171,"cahill,_richard_andrew:0","Cahill, Richard Andrew",,,male,1,male,1,male,1,0,0,0,,,
2172,"ickes,_betty:0","Ickes, Betty",,,female,5,female,5,female,5,0,0,0,,,
2173,"skoski,_joseph_richard:0","Skoski, Joseph Richard",,,male,1,male,1,male,1,0,0,0,,,
2174,"johnson,_marianne_sherry:0","Johnson, Marianne Sherry",,,female,5,female,5,female,5,0,0,0,,,
2175,"brandt,_karl_gerard:0","Brandt, Karl Gerard",,,male,1,male,1,male,1,0,0,0,,,
2176,"barry,_kathleen_morgan:0","Barry, Kathleen Morgan",,,female,5,female,5,female,5,0,0,0,,,
2177,"nelson,_william_evan:0","Nelson, William Evan",,,male,1,male,1,male,1,0,0,0,,,
2178,"russell,_william_charles:1","Russell, William Charles",,,male,1,male,1,male,1,0,0,0,,,
2179,"barr,_juliana:0","Barr, Juliana",,,female,5,andy,3,female,5,2,0,2,,,
2180,"smith,_russell_alexander:0","Smith, Russell Alexander",,,male,1,male,1,male,1,0,0,0,,,
2181,"marsh,_kevin_reppert:0","Marsh, Kevin Reppert",,,male,1,male,1,male,1,0,0,0,,,
2182,"brown,_lara_michelle:0","Brown, Lara Michelle",,,female,5,female,5,female,5,0,0,0,,,
2183,"smith,_leonard_vinson:0","Smith, Leonard Vinson",,,male,1,male,1,male,1,0,0,0,,,
2184,"lui,_mary_ting_yi:0","Lui, Mary Ting Yi",,,female,5,mostly_female,4,female,5,1,0,1,,,
2186,"kenney,_john:0","Kenney, John",,,male,1,male,1,male,1,0,0,0,,,
2187,"davila,_james_rohr:0","Davila, James Rohr",,,male,1,male,1,male,1,0,0,0,,,
2188,"bowman,_mary_d._leavell:0","Bowman, Mary D. Leavell",,,female,5,mostly_female,4,female,5,1,0,1,,,
2189,"barrett,_jason_m.:0","Barrett, Jason M.",,,male,1,male,1,male,1,0,0,0,,,
2190,"gerard,_christopher_john:0","Gerard, Christopher John",,,male,1,male,1,male,1,0,0,0,,,
2191,"yanney,_linda_jean:0","Yanney, Linda Jean",,,female,5,female,5,female,5,0,0,0,,,
2192,"garry,_laurie_jane_wright:0","Garry, Laurie Jane Wright",,,female,5,female,5,female,5,0,0,0,,,
2193,"blessing,_benita_carol:0","Blessing, Benita Carol",,,female,5,female,5,female,5,0,0,0,,,
2194,"durston,_alan:0","Durston, Alan",,,male,1,male,1,male,1,0,0,0,,,
2195,"kaiksow,_sarah_e._a.:0","Kaiksow, Sarah E. A.",,,female,5,female,5,female,5,0,0,0,,,
2196,"ahlberg,_kristin_leigh:0","Ahlberg, Kristin Leigh",,,female,5,female,5,female,5,0,0,0,,,
2197,"russ,_jonathan_s.:0","Russ, Jonathan S.",,,male,1,male,1,male,1,0,0,0,,,
2198,"robinson,_emily_moberg:0","Robinson, Emily Moberg",,,female,5,female,5,female,5,0,0,0,,,
2199,"stem,_stephen_rex:0","Stem, Stephen Rex",,,male,1,male,1,male,1,0,0,0,,,
2201,"stern,_mark_jay:0","Stern, Mark Jay",,,male,1,male,1,male,1,0,0,0,,,
2202,"landau,_emily_epstein:0","Landau, Emily Epstein",,,female,5,female,5,female,5,0,0,0,,,
2203,"o'neill,_kelly_ann:0","O'neill, Kelly Ann",,,female,5,mostly_female,4,female,5,1,0,1,,,
2204,"lutton,_joan_drody:0","Lutton, Joan Drody",,,female,5,female,5,female,5,0,0,0,,,
2205,"adams,_sean_patrick:0","Adams, Sean Patrick",,,male,1,male,1,male,1,0,0,0,,,
2206,"jones,_beverly_washington:0","Jones, Beverly Washington",,,female,5,female,5,female,5,0,0,0,,,
2207,"nolan,_john_sherman:0","Nolan, John Sherman",,,male,1,male,1,male,1,0,0,0,,,
2208,"williford,_thomas_j.:0","Williford, Thomas J.",,,male,1,male,1,male,1,0,0,0,,,
2209,"farley,_kyle_p.:0","Farley, Kyle P.",,,male,1,mostly_male,2,male,1,1,0,1,,,
2210,"massmann,_priscilla_g.:0","Massmann, Priscilla G.",,,female,5,female,5,female,5,0,0,0,,,
2211,"schmidt,_benjamin:0","Schmidt, Benjamin",,,male,1,male,1,male,1,0,0,0,,,
2212,"john,_mary_e.:0","John, Mary E.",,,female,5,mostly_female,4,female,5,1,0,1,,,
2213,"snow,_eric_vaughn:0","Snow, Eric Vaughn",,,male,1,male,1,male,1,0,0,0,,,
2214,"white,_ashli:0","White, Ashli",,,female,5,female,5,female,5,0,0,0,,,
2215,"robinson,_marco_tyrone:0","Robinson, Marco Tyrone",,,male,1,andy,3,male,1,2,0,2,,,
2216,"parham,_vera_lynn:0","Parham, Vera Lynn",,,female,5,female,5,female,5,0,0,0,,,
2217,"lee,_joseph_edward:0","Lee, Joseph Edward",,,male,1,male,1,male,1,0,0,0,,,
2218,"hart,_nettie_lee_collins:0","Hart, Nettie Lee Collins",,,female,5,female,5,female,5,0,0,0,,,
2219,"decaro,_louis_anthony,_jr.:0","Decaro, Louis Anthony, Jr.",,,male,1,male,1,male,1,0,0,0,,,
2220,"dickens,_laurie_catherine:0","Dickens, Laurie Catherine",,,female,5,female,5,female,5,0,0,0,,,
2221,"orsi,_robert_anthony:0","Orsi, Robert Anthony",,,male,1,male,1,male,1,0,0,0,,,
2222,"kaufman,_murray:0","Kaufman, Murray",,,male,1,male,1,male,1,0,0,0,,,
2223,"frank,_lisa_tendrich:0","Frank, Lisa Tendrich",,,female,5,female,5,female,5,0,0,0,,,
2224,"coe,_steven_robert:0","Coe, Steven Robert",,,male,1,male,1,male,1,0,0,0,,,
2225,"coffey,_justin_p.:0","Coffey, Justin P.",,,male,1,male,1,male,1,0,0,0,,,
2226,"bowen,_michael_d.:0","Bowen, Michael D.",,,male,1,male,1,male,1,0,0,0,,,
2227,"larson,_katherine_clifford:0","Larson, Katherine Clifford",,,female,5,female,5,female,5,0,0,0,,,
2228,"funk,_david_george:0","Funk, David George",,,male,1,male,1,male,1,0,0,0,,,
2229,"wagy,_thomas_ray:0","Wagy, Thomas Ray",,,male,1,male,1,male,1,0,0,0,,,
2230,"nowowiejski,_dean_a.:0","Nowowiejski, Dean A.",,,male,1,male,1,male,1,0,0,0,,,
2231,"fernandez,_johanna_l._del_c.:0","Fernandez, Johanna L. Del C.",,,female,5,andy,3,female,5,2,0,2,,,
2232,"mccartney,_elizabeth:0","Mccartney, Elizabeth",,,female,5,female,5,female,5,0,0,0,,,
2233,"nystrom,_eric_charles:0","Nystrom, Eric Charles",,,male,1,male,1,male,1,0,0,0,,,
2234,"walmsley,_andrew_stephen:0","Walmsley, Andrew Stephen",,,male,1,male,1,male,1,0,0,0,,,
2235,"dukes,_richard_sears,_jr.:0","Dukes, Richard Sears, Jr.",,,male,1,male,1,male,1,0,0,0,,,
2236,"sturdevant,_rick_willard:0","Sturdevant, Rick Willard",,,male,1,male,1,male,1,0,0,0,,,
2237,"aghazadeh,_rebecca_joubin:0","Aghazadeh, Rebecca Joubin",,,female,5,female,5,female,5,0,0,0,,,
2238,"ward,_frances_marie:0","Ward, Frances Marie",,,female,5,female,5,female,5,0,0,0,,,
2239,"bearden,_russell_e.:0","Bearden, Russell E.",,,male,1,male,1,male,1,0,0,0,,,
2240,"breidenbach,_paul_andrew:0","Breidenbach, Paul Andrew",,,male,1,male,1,male,1,0,0,0,,,
2241,"rauscher,_pamela:0","Rauscher, Pamela",,,female,5,female,5,female,5,0,0,0,,,
2242,"yonke,_eric_john:0","Yonke, Eric John",,,male,1,male,1,male,1,0,0,0,,,
2243,"christman,_robert_john:0","Christman, Robert John",,,male,1,male,1,male,1,0,0,0,,,
2244,"minsky,_amir:0","Minsky, Amir",,,male,1,andy,3,male,1,2,0,2,,,
2245,"dieterich,_david_henry:0","Dieterich, David Henry",,,male,1,male,1,male,1,0,0,0,,,
2246,"marsh,_brandon_douglas:0","Marsh, Brandon Douglas",,,male,1,male,1,male,1,0,0,0,,,
2247,"mckeown,_james_sean:0","Mckeown, James Sean",,,male,1,male,1,male,1,0,0,0,,,
2249,"metcalf,_alida_christine:0","Metcalf, Alida Christine",,,female,5,andy,3,female,5,2,0,2,,,
2250,"starenko,_peter_elsel:0","Starenko, Peter Elsel",,,male,1,male,1,male,1,0,0,0,,,
2251,"lee,_jessica_anne:0","Lee, Jessica Anne",,,female,5,female,5,female,5,0,0,0,,,
2252,"olson,_kory_ernest:0","Olson, Kory Ernest",,,male,1,male,1,male,1,0,0,0,,,
2253,"knowles,_katie:0","Knowles, Katie",,,female,5,female,5,female,5,0,0,0,,,
2254,"neal,_janice_kenney:0","Neal, Janice Kenney",,,female,5,female,5,female,5,0,0,0,,,
2255,"clune,_john_james,_jr.:0","Clune, John James, Jr.",,,male,1,male,1,male,1,0,0,0,,,
2256,"noble,_virginia_anne:0","Noble, Virginia Anne",,,female,5,female,5,female,5,0,0,0,,,
2257,"gillon,_steven_michael:0","Gillon, Steven Michael",,,male,1,male,1,male,1,0,0,0,,,
2258,"toney_(booth),_tabatha_dee:0","Toney (booth), Tabatha Dee",,,female,5,female,5,female,5,0,0,0,,,
2259,"pegoda,_andrew_joseph:0","Pegoda, Andrew Joseph",,,male,1,male,1,male,1,0,0,0,,,
2260,"bennett,_dean_william:0","Bennett, Dean William",,,male,1,male,1,male,1,0,0,0,,,
2261,"zucco,_raymond_joseph:0","Zucco, Raymond Joseph",,,male,1,male,1,male,1,0,0,0,,,
2262,"miller,_ross_martin:0","Miller, Ross Martin",,,male,1,male,1,male,1,0,0,0,,,
2263,"duggan,_elizabeth_a.:0","Duggan, Elizabeth A.",,,female,5,female,5,female,5,0,0,0,,,
2264,"story,_donna_ketchum:0","Story, Donna Ketchum",,,female,5,female,5,female,5,0,0,0,,,
2265,"silva,_jose_pablo:0","Silva, Jose Pablo",,,male,1,male,1,male,1,0,0,0,,,
2266,"heiss,_mary_ann:0","Heiss, Mary Ann",,,female,5,mostly_female,4,female,5,1,0,1,,,
2268,"nylan,_michael:0","Nylan, Michael",,,male,1,male,1,male,1,0,0,0,,,
2269,"hills,_thomas_d.:0","Hills, Thomas D.",,,male,1,male,1,male,1,0,0,0,,,
2270,"skemp,_mary_loretta:0","Skemp, Mary Loretta",,,female,5,mostly_female,4,female,5,1,0,1,,,
2271,"choate,_tova_ann_leigh:0","Choate, Tova Ann Leigh",,,female,5,andy,3,female,5,2,0,2,,,
2272,"arlinghaus,_joseph_theodore:0","Arlinghaus, Joseph Theodore",,,male,1,male,1,male,1,0,0,0,,,
2273,"garza,_natalie_m.:0","Garza, Natalie M.",,,female,5,female,5,female,5,0,0,0,,,
2274,"long,_loretta_m.:0","Long, Loretta M.",,,female,5,female,5,female,5,0,0,0,,,
2275,"schibuk,_margaret_danielle:0","Schibuk, Margaret Danielle",,,female,5,female,5,female,5,0,0,0,,,
2276,"lewis,_robert_earl:0","Lewis, Robert Earl",,,male,1,male,1,male,1,0,0,0,,,
2277,"billingsley,_scott:0","Billingsley, Scott",,,male,1,male,1,male,1,0,0,0,,,
2278,"fracchia,_joseph_george:0","Fracchia, Joseph George",,,male,1,male,1,male,1,0,0,0,,,
2279,"crowther,_edward_riley:0","Crowther, Edward Riley",,,male,1,male,1,male,1,0,0,0,,,
2280,"weisenberger,_carol_whiteside:0","Weisenberger, Carol Whiteside",,,female,5,mostly_female,4,female,5,1,0,1,,,
2281,"crisler,_jane_ellen:0","Crisler, Jane Ellen",,,female,5,female,5,female,5,0,0,0,,,
2282,"chenault,_wesley:0","Chenault, Wesley",,,male,1,male,1,male,1,0,0,0,,,
2283,"faust,_katherine_louise_milton:0","Faust, Katherine Louise Milton",,,female,5,female,5,female,5,0,0,0,,,
2284,"carlson,_andrew_ian:0","Carlson, Andrew Ian",,,male,1,male,1,male,1,0,0,0,,,
2285,"harris,_michael_wesley:0","Harris, Michael Wesley",,,male,1,male,1,male,1,0,0,0,,,
2286,"millett,_william_walter:0","Millett, William Walter",,,male,1,male,1,male,1,0,0,0,,,
2287,"smith-divita,_stephanie:0","Smith Divita, Stephanie",,,female,5,female,5,female,5,0,0,0,,,
2288,"boender,_debra_ruth:0","Boender, Debra Ruth",,,female,5,female,5,female,5,0,0,0,,,
2289,"reiff,_janice_l.:0","Reiff, Janice L.",,,female,5,female,5,female,5,0,0,0,,,
2290,"keyser,_richard_lewis:0","Keyser, Richard Lewis",,,male,1,male,1,male,1,0,0,0,,,
2291,"silverman,_jonathan_todd:0","Silverman, Jonathan Todd",,,male,1,male,1,male,1,0,0,0,,,
2292,"davidson,_naomi:0","Davidson, Naomi",,,female,5,female,5,female,5,0,0,0,,,
2293,"herbin,_elizabeth_ann:0","Herbin, Elizabeth Ann",,,female,5,female,5,female,5,0,0,0,,,
2295,"myrup,_erik_lars:0","Myrup, Erik Lars",,,male,1,male,1,male,1,0,0,0,,,
2296,"mattox,_henry_ellis:0","Mattox, Henry Ellis",,,male,1,male,1,male,1,0,0,0,,,
2297,"rymph,_catherine_elaine:0","Rymph, Catherine Elaine",,,female,5,female,5,female,5,0,0,0,,,
2298,"raz,_ronen:0","Raz, Ronen",,,male,1,andy,3,male,1,2,0,2,,,
2299,"sheehan,_jonathan_lino:0","Sheehan, Jonathan Lino",,,male,1,male,1,male,1,0,0,0,,,
2300,"straw,_rebecca_jane:0","Straw, Rebecca Jane",,,female,5,female,5,female,5,0,0,0,,,
2301,"hudson,_janet_goodrum:0","Hudson, Janet Goodrum",,,female,5,female,5,female,5,0,0,0,,,
2302,"pruitt,_dwain_c.:0","Pruitt, Dwain C.",,,male,1,male,1,male,1,0,0,0,,,
2303,"batchelor,_robert_kinnaird,_jr.:0","Batchelor, Robert Kinnaird, Jr.",,,male,1,male,1,male,1,0,0,0,,,
2304,"masur,_katherine_(kate):0","Masur, Katherine (kate)",,,female,5,female,5,female,5,0,0,0,,,
2305,"gingerich,_mark_philip:0","Gingerich, Mark Philip",,,male,1,male,1,male,1,0,0,0,,,
2306,"cane,_james_augustus:0","Cane, James Augustus",,,male,1,male,1,male,1,0,0,0,,,
2307,"russell,_edmund_paul,_iii:0","Russell, Edmund Paul, Iii",,,male,1,male,1,male,1,0,0,0,,,
2308,"teed,_melissa_ladd:0","Teed, Melissa Ladd",,,female,5,female,5,female,5,0,0,0,,,
2309,"samples,_earl_lee,_jr.:0","Samples, Earl Lee, Jr.",,,male,1,male,1,male,1,0,0,0,,,
2311,"smith,_kirk_stevan:0","Smith, Kirk Stevan",,,male,1,male,1,male,1,0,0,0,,,
2312,"goodyear,_frank_henry,_iii:0","Goodyear, Frank Henry, Iii",,,male,1,male,1,male,1,0,0,0,,,
2313,"miller,_ian_jared:0","Miller, Ian Jared",,,male,1,male,1,male,1,0,0,0,,,
2314,"furlong,_patrick_jonathan:0","Furlong, Patrick Jonathan",,,male,1,male,1,male,1,0,0,0,,,
2315,"hostetter,_christina_j.:0","Hostetter, Christina J.",,,female,5,female,5,female,5,0,0,0,,,
2316,"armfield,_felix_lionel:0","Armfield, Felix Lionel",,,male,1,andy,3,male,1,2,0,2,,,
2317,"davis,_henry_joseph:0","Davis, Henry Joseph",,,male,1,male,1,male,1,0,0,0,,,
2318,"hamblin,_william_james:0","Hamblin, William James",,,male,1,male,1,male,1,0,0,0,,,
2319,"towles,_robert_lee:0","Towles, Robert Lee",,,male,1,male,1,male,1,0,0,0,,,
2320,"brown,_timothy_richard:0","Brown, Timothy Richard",,,male,1,male,1,male,1,0,0,0,,,
2321,"meranze,_michael:0","Meranze, Michael",,,male,1,male,1,male,1,0,0,0,,,
2322,"innes,_robert_leroy:0","Innes, Robert Leroy",,,male,1,male,1,male,1,0,0,0,,,
2323,"lam,_joseph_sui_ching:0","Lam, Joseph Sui Ching",,,male,1,male,1,male,1,0,0,0,,,
2324,"golliday,_jessica_lynn:0","Golliday, Jessica Lynn",,,female,5,female,5,female,5,0,0,0,,,
2325,"mizgala,_joanna_justyna:0","Mizgala, Joanna Justyna",,,female,5,female,5,female,5,0,0,0,,,
2326,"posner,_kenneth:0","Posner, Kenneth",,,male,1,male,1,male,1,0,0,0,,,
2327,"whiting,_cecile_marie:0","Whiting, Cecile Marie",,,female,5,andy,3,female,5,2,0,2,,,
2328,"beal,_thomas_david:0","Beal, Thomas David",,,male,1,male,1,male,1,0,0,0,,,
2329,"roberts,_leonard_harold:0","Roberts, Leonard Harold",,,male,1,male,1,male,1,0,0,0,,,
2330,"wessling,_mary_nagle:0","Wessling, Mary Nagle",,,female,5,mostly_female,4,female,5,1,0,1,,,
2331,"d'entremont,_john_philip:0","D'entremont, John Philip",,,male,1,male,1,male,1,0,0,0,,,
2332,"dohm,_alexandra_maria_ethlyn:0","Dohm, Alexandra Maria Ethlyn",,,female,5,female,5,female,5,0,0,0,,,
2333,"martinez,_francisco_javier:0","Martinez, Francisco Javier",,,male,1,male,1,male,1,0,0,0,,,
2334,"camp,_stephanie_m._h.:0","Camp, Stephanie M. H.",,,female,5,female,5,female,5,0,0,0,,,
2335,"doubler,_michael_dale:0","Doubler, Michael Dale",,,male,1,male,1,male,1,0,0,0,,,
2337,"turner,_jennifer_louise:0","Turner, Jennifer Louise",,,female,5,female,5,female,5,0,0,0,,,
2338,"alexander,_renee_jacqueline:0","Alexander, Renee Jacqueline",,,female,5,female,5,female,5,0,0,0,,,
2339,"reed,_angela_s.:0","Reed, Angela S.",,,female,5,female,5,female,5,0,0,0,,,
2340,"gadsden,_brett:0","Gadsden, Brett",,,male,1,male,1,male,1,0,0,0,,,
2341,"perry,_david_mordecai:0","Perry, David Mordecai",,,male,1,male,1,male,1,0,0,0,,,
2342,"silver,_christopher:1","Silver, Christopher",,,male,1,male,1,male,1,0,0,0,,,
2343,"todd,_gary_lee:0","Todd, Gary Lee",,,male,1,male,1,male,1,0,0,0,,,
2344,"anderson,_michael_james:0","Anderson, Michael James",,,male,1,male,1,male,1,0,0,0,,,
2345,"granados,_carlos_l.:0","Granados, Carlos L.",,,male,1,male,1,male,1,0,0,0,,,
2346,"antonova,_katherine_pickering:0","Antonova, Katherine Pickering",,,female,5,female,5,female,5,0,0,0,,,
2347,"abram,_dominic_francis:0","Abram, Dominic Francis",,,male,1,male,1,male,1,0,0,0,,,
2348,"dreifus,_erika:0","Dreifus, Erika",,,female,5,female,5,female,5,0,0,0,,,
2349,"adams,_john_randall:0","Adams, John Randall",,,male,1,male,1,male,1,0,0,0,,,
2350,"miller,_michael_l.:2","Miller, Michael L.",,,male,1,male,1,male,1,0,0,0,,,
2351,"marley,_david_john:0","Marley, David John",,,male,1,male,1,male,1,0,0,0,,,
2352,"haskins,_sarah:0","Haskins, Sarah",,,female,5,female,5,female,5,0,0,0,,,
2353,"rosenfeld,_frances_a.:0","Rosenfeld, Frances A.",,,female,5,female,5,female,5,0,0,0,,,
2354,"capshew,_james_herbert:0","Capshew, James Herbert",,,male,1,male,1,male,1,0,0,0,,,
2355,"schurman,_rachel_arna:0","Schurman, Rachel Arna",,,female,5,female,5,female,5,0,0,0,,,
2356,"faubion,_michael_leon:0","Faubion, Michael Leon",,,male,1,male,1,male,1,0,0,0,,,
2357,"wingate,_blanca_victoria:0","Wingate, Blanca Victoria",,,female,5,andy,3,female,5,2,0,2,,,
2358,"gump,_james_oliver:0","Gump, James Oliver",,,male,1,male,1,male,1,0,0,0,,,
2359,"wood,_robert_eric:0","Wood, Robert Eric",,,male,1,male,1,male,1,0,0,0,,,
2360,"rohr,_mary_ann:0","Rohr, Mary Ann",,,female,5,mostly_female,4,female,5,1,0,1,,,
2361,"mccrie,_robert_delbert:0","Mccrie, Robert Delbert",,,male,1,male,1,male,1,0,0,0,,,
2362,"francois,_samantha_yates:0","Francois, Samantha Yates",,,female,5,female,5,female,5,0,0,0,,,
2363,"weiss,_richard_scott:0","Weiss, Richard Scott",,,male,1,male,1,male,1,0,0,0,,,
2364,"volz,_stephen_c.:0","Volz, Stephen C.",,,male,1,male,1,male,1,0,0,0,,,
2365,"huston,_richard_peter:0","Huston, Richard Peter",,,male,1,male,1,male,1,0,0,0,,,
2366,"hatcher,_christina_j.:0","Hatcher, Christina J.",,,female,5,female,5,female,5,0,0,0,,,
2367,"levich,_eugene_william:0","Levich, Eugene William",,,male,1,male,1,male,1,0,0,0,,,
2368,"angiel,_randal:0","Angiel, Randal",,,male,1,male,1,male,1,0,0,0,,,
2369,"carrigan,_william_dean:0","Carrigan, William Dean",,,male,1,male,1,male,1,0,0,0,,,
2370,"windrum,_kenneth_george:0","Windrum, Kenneth George",,,male,1,male,1,male,1,0,0,0,,,
2371,"kusmer,_kenneth_leslie:0","Kusmer, Kenneth Leslie",,,male,1,male,1,male,1,0,0,0,,,
2372,"collins,_sandra_s.:0","Collins, Sandra S.",,,female,5,female,5,female,5,0,0,0,,,
2373,"savage,_paul_martin:0","Savage, Paul Martin",,,male,1,male,1,male,1,0,0,0,,,
2374,"rogers,_william_scott:0","Rogers, William Scott",,,male,1,male,1,male,1,0,0,0,,,
2375,"borrello,_mark_edward:0","Borrello, Mark Edward",,,male,1,male,1,male,1,0,0,0,,,
2376,"mcmahon,_sean_howard:0","Mcmahon, Sean Howard",,,male,1,male,1,male,1,0,0,0,,,
2377,"pinsky,_edward_david:0","Pinsky, Edward David",,,male,1,male,1,male,1,0,0,0,,,
2378,"volman,_daniel_henry:0","Volman, Daniel Henry",,,male,1,male,1,male,1,0,0,0,,,
2379,"barnes-harden,_alene_leett:0","Barnes Harden, Alene Leett",,,female,5,female,5,female,5,0,0,0,,,
2380,"kazmier,_lisa_ann:0","Kazmier, Lisa Ann",,,female,5,female,5,female,5,0,0,0,,,
2381,"whitman,_james_quick:0","Whitman, James Quick",,,male,1,male,1,male,1,0,0,0,,,
2382,"o'neill,_stephen:0","O'neill, Stephen",,,male,1,male,1,male,1,0,0,0,,,
2383,"fenlon,_timothy_e.:0","Fenlon, Timothy E.",,,male,1,male,1,male,1,0,0,0,,,
2384,"heller,_wendy_beth:0","Heller, Wendy Beth",,,female,5,female,5,female,5,0,0,0,,,
2385,"muller,_dalia_antonia:0","Muller, Dalia Antonia",,,female,5,andy,3,female,5,2,0,2,,,
2386,"mcduffie,_erik_s.:0","Mcduffie, Erik S.",,,male,1,male,1,male,1,0,0,0,,,
2387,"marquardt,_gary:0","Marquardt, Gary",,,male,1,male,1,male,1,0,0,0,,,
2388,"wakefield,_wanda_ellen:0","Wakefield, Wanda Ellen",,,female,5,female,5,female,5,0,0,0,,,
2389,"everett,_michael_john:0","Everett, Michael John",,,male,1,male,1,male,1,0,0,0,,,
2390,"burk,_robert_fredrick:0","Burk, Robert Fredrick",,,male,1,male,1,male,1,0,0,0,,,
2391,"hamilton,_michael_s.:0","Hamilton, Michael S.",,,male,1,male,1,male,1,0,0,0,,,
2392,"shannon,_warren_alex:0","Shannon, Warren Alex",,,male,1,male,1,male,1,0,0,0,,,
2393,"hwa,_lily:0","Hwa, Lily",,,female,5,female,5,female,5,0,0,0,,,
2394,"nordenhaug,_erik_stephen:0","Nordenhaug, Erik Stephen",,,male,1,male,1,male,1,0,0,0,,,
2395,"blair,_william_alan:0","Blair, William Alan",,,male,1,male,1,male,1,0,0,0,,,
2396,"macdonald,_duncan_bruce:0","Macdonald, Duncan Bruce",,,male,1,male,1,male,1,0,0,0,,,
2397,"nordell,_john_robert,_jr.:0","Nordell, John Robert, Jr.",,,male,1,male,1,male,1,0,0,0,,,
2398,"pak,_michael_senkyu:0","Pak, Michael Senkyu",,,male,1,male,1,male,1,0,0,0,,,
2399,"smith,_michaela_jolanda_ruppert:0","Smith, Michaela Jolanda Ruppert",,,female,5,andy,3,female,5,2,0,2,,,
2400,"horger,_marc_thomas:0","Horger, Marc Thomas",,,male,1,male,1,male,1,0,0,0,,,
2401,"altstadt-mirhadi,_audrey_l.:0","Altstadt Mirhadi, Audrey L.",,,female,5,female,5,female,5,0,0,0,,,
2402,"balius,_scott_e.:0","Balius, Scott E.",,,male,1,male,1,male,1,0,0,0,,,
2403,"powell,_ryan:1","Powell, Ryan",,,male,1,mostly_male,2,male,1,1,0,1,,,
2404,"loomis,_barbara_diane:0","Loomis, Barbara Diane",,,female,5,female,5,female,5,0,0,0,,,
2405,"cobb,_william_a._jelani:0","Cobb, William A. Jelani",,,male,1,male,1,male,1,0,0,0,,,
2406,"myers,_judith_gay:0","Myers, Judith Gay",,,female,5,female,5,female,5,0,0,0,,,
2407,"leese,_david_joseph:0","Leese, David Joseph",,,male,1,male,1,male,1,0,0,0,,,
2408,"arnold-lourie,_christine_m.:0","Arnold Lourie, Christine M.",,,female,5,female,5,female,5,0,0,0,,,
2409,"siegel,_katherine_amelia_siobhan:0","Siegel, Katherine Amelia Siobhan",,,female,5,female,5,female,5,0,0,0,,,
2410,"samper,_mario:0","Samper, Mario",,,male,1,male,1,male,1,0,0,0,,,
2411,"birzer,_bradley_j.:0","Birzer, Bradley J.",,,male,1,male,1,male,1,0,0,0,,,
2412,"durrill,_wayne_keith:0","Durrill, Wayne Keith",,,male,1,male,1,male,1,0,0,0,,,
2413,"schwartz,_marie_jenkins:0","Schwartz, Marie Jenkins",,,female,5,female,5,female,5,0,0,0,,,
2414,"gross,_andrew_david:0","Gross, Andrew David",,,male,1,male,1,male,1,0,0,0,,,
2415,"montejano,_david:0","Montejano, David",,,male,1,male,1,male,1,0,0,0,,,
2416,"rafi,_iris_fawzia:0","Rafi, Iris Fawzia",,,female,5,andy,3,female,5,2,0,2,,,
2417,"sutton,_william_ralph:0","Sutton, William Ralph",,,male,1,male,1,male,1,0,0,0,,,
2418,"garrity,_patrick_joseph:0","Garrity, Patrick Joseph",,,male,1,male,1,male,1,0,0,0,,,
2419,"leyh,_george,_jr.:0","Leyh, George, Jr.",,,male,1,mostly_male,2,male,1,1,0,1,,,
2420,"hemphill,_christina_dallett:0","Hemphill, Christina Dallett",,,female,5,female,5,female,5,0,0,0,,,
2421,"torre,_jose_ramon:0","Torre, Jose Ramon",,,male,1,male,1,male,1,0,0,0,,,
2422,"legg,_charlotte_ann:0","Legg, Charlotte Ann",,,female,5,female,5,female,5,0,0,0,,,
2423,"pfeifer,_michael_james:0","Pfeifer, Michael James",,,male,1,male,1,male,1,0,0,0,,,
2424,"nugent,_mark:0","Nugent, Mark",,,male,1,male,1,male,1,0,0,0,,,
2425,"cappiello,_dianne_wheaton:0","Cappiello, Dianne Wheaton",,,female,5,female,5,female,5,0,0,0,,,
2426,"charney,_paul_john:0","Charney, Paul John",,,male,1,male,1,male,1,0,0,0,,,
2427,"nolt,_steven_m.:0","Nolt, Steven M.",,,male,1,male,1,male,1,0,0,0,,,
2428,"berho,_deborah_lee:0","Berho, Deborah Lee",,,female,5,female,5,female,5,0,0,0,,,
