,all_work,all_family,all_percent,all_medical,all_age,all_table,all_married,all_gender,all_white,all_black,all_race,all_war,all_nation,all_colonial,year
0,,,,,,,,,,,,,,,1953
1,,,,,,,,,,,,,,,1954
2,,,,,,,,,,,,,,,1955
3,,,,,,,,,,,,,,,1956
4,,,,,,,,,,,,,,,1957
5,,,,,,,,,,,,,,,1958
6,,,,,,,,,,,,,,,1959
7,,,,,,,,,,,,,,,1960
8,,,,,,,,,,,,,,,1961
9,,,,,,,,,,,,,,,1962
10,,,,,,,,,,,,,,,1963
11,0.0008870743614665435,0.0017912877541313335,0.0,0.0,0.00033484019515858676,0.00015033826108744674,0.00028570483925939073,0.0,0.0009075865221926428,0.00010306071380910353,0.00010191053103579598,0.001279223005086807,0.00034892738597820715,6.11639774978446e-05,1964
12,0.0007937268536727932,0.001932256917126928,0.0,0.0,0.00037008248590748546,0.00015033826108744674,0.00028570483925939073,0.0,0.0009075865221926428,6.0197447628220555e-05,0.00010191053103579598,0.0011001489649312907,0.00026320085361644115,0.0003078600127401353,1965
13,0.0003991097770198966,0.0019595678446089884,0.00028831226436016856,0.0,0.000569683284310679,0.00015033826108744674,0.00044094990468409684,0.0,0.00046861371256125864,8.23753141174643e-05,0.00013233652985359038,0.0007663838859139828,0.0003158047189234793,0.00029393027857944226,1966
14,0.0006374247684775705,0.002154704743785178,0.0003277833517886272,0.0004557714050560502,0.0006250023844544261,0.00015033826108744674,0.0004833105377803449,8.432414200185513e-06,0.00034679447740907217,9.924014251783532e-05,7.857308899337533e-05,0.0007726641601401489,0.00020847560489384369,0.00037924723105789974,1967
15,0.0010082493255114402,0.0021811936906526025,0.0003277833517886272,0.0004557714050560502,0.0005652869303894328,0.00015033826108744674,0.0004476740627666399,8.432414200185513e-06,0.0002042485773542521,3.904269488961476e-05,6.653359946773121e-05,0.0005848522633621161,0.00024555806059723057,0.00037924723105789974,1968
16,0.0013744220315460834,0.0013112001377616213,0.00045222347593140873,0.00047627500633050395,0.0004390676857560819,4.0966567756171355e-05,0.00026869511744020025,8.432414200185513e-06,0.00024203920716493608,7.344535974859636e-05,7.412128409098453e-05,0.0006938056332363633,0.000270930982678816,0.0003594604318957258,1969
17,0.00173964832490961,0.001733308146248718,0.0007320444305371495,0.00047979675311691003,0.0008152362717215042,0.00016468949654071787,0.0004565565126141226,8.432414200185513e-06,0.00027436946388785234,8.816688253948233e-05,8.46865244502027e-05,0.000724205625060336,0.00029269599904251407,0.00016699207677061054,1970
18,0.0018734114767480253,0.001987838233213372,0.0005209380807415757,0.000746236940466893,0.0007812312724959217,0.00023219276230471527,0.0004351076083187274,1.5425791883645227e-05,0.00025234798695758666,9.256015320631377e-05,4.876079595826652e-05,0.0005177062007215282,0.00023391413833127075,0.00019228560441364177,1971
19,0.0019598196674651953,0.0023980671926616924,0.0006579683598682025,0.0005667257081590312,0.0008737014020830774,0.0002802388039624986,0.0007017852487831866,6.993377683459715e-06,0.00025105631237149146,0.00011717050824871,7.236019910708059e-05,0.0006096713867042548,0.0001328045580475185,0.00010888750369429166,1972
20,0.0022903966714027573,0.002785632400600067,0.0009354043186449871,0.000569614920316147,0.0011537876141169859,0.0003640399319544191,0.0009736352861762496,1.0245602187289276e-05,0.00022457573654003065,0.00015473310382580407,7.401085441723872e-05,0.0007504519629072006,9.342119965059586e-05,0.00010888750369429166,1973
