,men_gender,women_gender,all_gender,men_white,women_white,all_white,men_african,women_african,all_african,men_race,women_race,all_race,men_black,women_black,all_black,men_war,women_war,all_war,men_racial,women_racial,all_racial,men_nation,women_nation,all_nation,men_colonial,women_colonial,all_colonial,year
25,9.963764765054843e-05,9.6148124798702e-05,0.00011223808391542958,0.0003659381255959716,8.721896459536531e-05,0.00025899559829364426,3.588629634312142e-05,0.0002008135380526063,0.00013396670846660158,9.0856879989186e-05,0.00010421043557544628,9.678019383014434e-05,0.0001995578806701157,8.378850965284605e-05,0.00016933771308701943,0.00034375115252604165,0.0002177810561733817,0.0002915484541088122,4.721607625325073e-05,5.64397787560671e-06,3.388245291856027e-05,0.00020439893072733413,7.431875282975107e-05,0.0001496606988156062,0.00026109925189353407,0.00012308057628613602,0.00015749617573646767,1978
26,0.00010669008250368148,0.00021700344902249018,0.00018389529334542917,0.0004701700822478592,0.00015349868519657546,0.00031403231779774207,2.6511634558182317e-05,0.00020762490850034042,0.0001341090554370454,7.167198376287592e-05,0.00012424522035034473,9.471558416295537e-05,0.00021334704416781894,0.00011698091803800442,0.00019260885212575026,0.000997936839711209,0.0002704137665145515,0.0004658088250231099,4.425363994563134e-05,7.939240453645638e-06,3.4009057011534754e-05,0.0002229536231206991,8.127988341946033e-05,0.0001447629148332244,0.00023291824562350012,0.0001003989892431123,0.00013553345349449743,1979
27,6.033233161760646e-05,0.00027596514415698364,0.00019133528631825396,0.0005539655136534481,0.0002778441493554339,0.0003796997585195314,6.279531142620298e-05,0.00021102614737596165,0.0001440314341563473,7.100644418761101e-05,0.00010182291069824888,9.721038100998491e-05,0.00023008765882969097,0.0003223259154965377,0.00032767898524258644,0.0008940802678231557,0.00044326563981300925,0.0005083026137743811,4.425363994563134e-05,3.488893075594997e-05,5.2666534913130067e-05,0.00019233841894385298,7.551270794210437e-05,0.00011484432933214599,0.0002842859522349548,0.00013164798841989038,0.00017265566015594848,1980
28,9.30333829191211e-05,0.0003223890578493751,0.00022793091057658746,0.0006245210667760765,0.00029867422619067596,0.0004273281529515679,0.00048105241504856446,0.00020259051617937192,0.00026749449448486,7.366866360554363e-05,0.00011887449309294111,0.00010931889402098285,0.00021894607701775036,0.00029093875524082964,0.0004483158929842015,0.0009868048495249805,0.0005813354160246759,0.00062195513074666,6.254496620699274e-05,3.488893075594997e-05,6.0415065850968704e-05,0.00021356870549294805,6.745689204645797e-05,0.00011531540752293791,8.668513721310569e-05,0.00013598174812264502,0.00010825482863317648,1981
29,0.00020149374246538062,0.00037257209771329335,0.00029899739574487167,0.0006326919836254375,0.00036876022603246134,0.0004370291109924942,0.0005554707506668612,0.00020482926162586926,0.0002977276649476226,2.7281393692538075e-05,0.00011282473564639721,8.19228479005385e-05,0.0001277239321843407,0.00035565465039999244,0.0004177344504871866,0.0010220100151814085,0.0007487214677454536,0.0007420301921688434,2.2396416573348266e-05,4.3082814612216704e-05,3.7227411421177604e-05,0.00021204541477351868,9.209904485321335e-05,0.00012954826451402088,0.00023399167480551083,0.00022428413053716205,0.00022015887311884873,1982
30,0.0003020948749422895,0.00047652589399854235,0.00037333231953842505,0.0006411392867999062,0.0003134057184424799,0.0004114873067985942,0.0005624007575968682,4.8093073311042683e-05,0.00021025114742932597,5.1164342049150803e-05,0.00010338823279262305,9.059096702347064e-05,0.0001365256188389374,0.00036648266641491604,0.00042503828158050395,0.001110594968491864,0.0007931484897686025,0.0007967127719388106,4.453500413146206e-05,3.7438836736609975e-05,4.406527555114236e-05,0.0001375303917965168,0.00012144677060710321,0.00011986594907629526,0.00023696717803596518,0.00015085260666552528,0.00017970322930455605,1983
31,0.0003866800801312547,0.0005414957479099952,0.00047384709040796644,0.000595910686884666,0.0003204999727248633,0.0004279213559267433,0.0005624007575968682,4.460194574757739e-05,0.0002086686699252674,4.783709175439309e-05,0.00010426977775522131,9.07928128711016e-05,0.00012273645534123417,0.00034896998181509296,0.0004163704873644127,0.0004082779793797859,0.0007692834293320662,0.0006279461463948949,4.9158747051355705e-05,4.17546292192827e-05,4.8357853264287715e-05,0.00011261246482766869,0.00014330602330180086,0.00013120770004045558,0.00024159092095585882,0.00016817947586554132,0.00019945033879764635,1984
32,0.000431457319711195,0.0006386182444991355,0.0005606334616957678,0.0004375420582029731,0.0003166038270852997,0.00038729468195074636,0.0005205790622318658,4.2255559192631234e-05,0.00019584541811515068,8.848830204576418e-05,0.00010868532774408249,0.00010603463529655827,0.00016428620804923822,0.0005873130439706114,0.0006164788780647391,0.0004455826248007348,0.0006559436954683021,0.000561570769471254,5.548285772329247e-05,3.11174673652226e-05,4.3515799366859766e-05,0.00010286935710855245,0.00016333675190581144,0.00014449594342391586,0.00018899414769488546,0.00014637107434635165,0.00017127361104881587,1985
33,0.0005572136188347955,0.000860720028888475,0.0007379234227414388,0.0003510692580611283,0.0003183232672823139,0.0003454821784977781,9.269480788906097e-05,2.483440730752163e-05,5.1027922538362994e-05,9.616451991029928e-05,0.00010777798333499642,0.00010734664486529118,0.0001538526905252924,0.00062437357066215,0.0004896272892026067,0.0004081212371445015,0.0005638247651827955,0.0005128161334181929,3.308644114994421e-05,3.9100600636683634e-05,3.9479080709894645e-05,0.00013248560936760597,0.00017346812094377694,0.00015867077765650546,0.00017605090452074956,0.00015685132418421857,0.000178215189384102,1986
34,0.0005452865286983662,0.0010208123357369973,0.0008186771102808753,0.0002958243983369988,0.00039381513490432637,0.00039361153639168973,3.0422680536087282e-05,3.5760521033722565e-05,3.385987383764835e-05,0.00012042856677117998,0.000158040089452346,0.000146725119159846,0.00026946003149982663,0.0006458408156124805,0.0006359530993325193,0.00045951124104236257,0.00043837711993813976,0.0004556588223730596,5.4572995111064926e-05,8.886353261906125e-05,7.686446230276477e-05,0.00015568725695049062,0.00015003959661965578,0.00015510283558325177,4.499375289482373e-05,0.0002752510304795322,0.00018827494213393247,1987
35,0.0005839974365947724,0.0011727964831891077,0.0009537569753107399,0.00030825681264480054,0.00043747294998348907,0.00042956970180547873,3.584434264586702e-05,3.293964405920377e-05,3.434371237174984e-05,0.0001325078803943269,0.00017936223886581409,0.00018327137644244938,0.00028878752381089016,0.0006519982205827696,0.0006492935026885204,0.0004400177299491418,0.0009119700062054809,0.0007414230937652259,3.243440755295113e-05,0.00011428666133139042,8.352005550926338e-05,0.00017042689085659015,0.00013877448905626135,0.00014938990582799116,6.572062081663486e-05,0.0003805356415190177,0.00025764424848719665,1988
36,0.0005946719086936003,0.0010962859941320735,0.0009124008147347297,0.00026701396858182507,0.0005833715486397611,0.0005001113337287902,3.790273936066586e-05,8.933118143792087e-05,7.006141472646723e-05,0.00014348466942799257,0.00021270594069372505,0.00021046952599931994,0.00032526809558968724,0.0008607380868342477,0.0007920329657767544,0.0007726092839116792,0.0008806059406388019,0.0008487185195651841,3.799023628103787e-05,0.00012706075402014989,9.353084427750851e-05,0.00018944086783473607,0.00013636397494595976,0.00015479406475755515,6.315527461154005e-05,0.0004949692250154891,0.0003214428511407896,1989
37,0.0006422766224649187,0.0011993148736402439,0.00098507531228606,0.00042405731210202476,0.0006283594870620747,0.0005697938672818184,0.00016719676981223177,0.0001124715013082446,0.0001239620302353815,0.00014813110715714185,0.00029225050499025954,0.0002647350111865187,0.00037920189314257175,0.0004876287359083004,0.0005257259862552239,0.0007379040375820336,0.0009013167627551241,0.0009352723563254581,0.00011308677356223674,0.0001912249518292715,0.00015688809163137975,0.00019830767207257996,0.00013590621892914088,0.00015446767839615008,0.0001442641070566477,0.0005521762499157523,0.0003814972010954882,1990
38,0.000846041245185886,0.0011631931328898537,0.0010226422710998004,0.0005401981250227862,0.0007410946585383596,0.0007160091645528555,0.000381289940525712,0.00014525458818009162,0.00023327171095730175,0.00023525510393305714,0.0003241505490671425,0.0003338682906712705,0.000741081249212472,0.0005852418052134534,0.000728144661856622,0.0008233540437794903,0.0009339349853778533,0.0010018891728833727,0.00017886112166507888,0.00023940796668276486,0.00024366428798411463,0.00021331025269007115,0.00023931495388775553,0.00023083899362868224,0.000258816730743686,0.0005649506103991449,0.0004179174831838205,1991
39,0.0009319413197738088,0.001124760031005375,0.0010388831719238946,0.0006477201458156112,0.0006973495740014512,0.000697660660146114,0.00039887630643018694,0.00020503778462999009,0.00027753570868022093,0.00035701752285821354,0.00033653840741929816,0.00038188089072532187,0.0006960170171651271,0.0006086206611969965,0.0006361297587673304,0.0009621805620396547,0.0009914980695346397,0.0010796546724893006,0.0002918358227970909,0.00021611043754933955,0.0002649929659188487,0.00025562220858337063,0.00028420787121077526,0.00027012575684093613,0.0002927606473574607,0.00042295303578498685,0.00035483285730543684,1992
40,0.0010126504833303472,0.0011507337226800338,0.0010876618321374258,0.0007969129120635346,0.0008124804965593509,0.0008183113932268045,0.00041531034848325214,0.00023660721208753604,0.000303874426578627,0.00044992652475510603,0.00046936183128016293,0.00047530028900273115,0.0007790222860634491,0.0006915344925495961,0.0007198364431543319,0.0012487336301201517,0.0005065527485800965,0.0009008153020101178,0.0003576186244577032,0.0002478787765676345,0.0003089023796703723,0.0002664790599219041,0.0003092122864176097,0.000289260543991765,0.0004018771709050553,0.0006413597588063041,0.0005311326842478759,1993
41,0.0011863565410344845,0.001306385125046743,0.001223464557546854,0.0008769674547012071,0.0007090647389244026,0.0008059814385297734,0.0004375493445378738,0.0002347143067286706,0.0003169104585685373,0.0005069073271571522,0.00044745280723276976,0.00048198801901497615,0.000874884636637262,0.0005851340685459506,0.0006914519531073865,0.0010060110391473336,0.0006999815547310674,0.0009243084069861154,0.0003873097946747658,0.0002692224406038912,0.0003375987724245017,0.0002795248449280257,0.0003121317874658351,0.00029541158058042974,0.0004136137163014304,0.0005793233388590714,0.0004972189493673031,1994
42,0.001319661141764824,0.001319923238034409,0.0012551673892373617,0.0011042342304834615,0.0007358610828216665,0.0009102898144701096,0.0006431571056411614,0.00028351128546796634,0.00043972605993893916,0.0007008636346023353,0.0004173574327925145,0.0005344449125697873,0.001111153743832873,0.0006258359359062198,0.0008177866396941256,0.0011487487354460157,0.0009303483081645879,0.0010022918734896296,0.0004412935564479378,0.0002606359813727502,0.0003533836176222313,0.0002789103127489044,0.00032499245034620246,0.0002994751907497966,0.0004048777585055039,0.0006123348439032434,0.0005933253222894182,1995
43,0.0011204790579897896,0.0013961165350801419,0.0012420278009032688,0.0009780616299477035,0.0008947440358434658,0.0009209761748905924,0.00048232553027912543,0.0004251438933032275,0.0004514416096382809,0.0006700110574473322,0.0005209900023032863,0.0005642078468395774,0.0007657715880531454,0.0009780503312314132,0.0008826767383240148,0.0012848483507983898,0.0009886054733309626,0.0010475383428196004,0.0004870847636207167,0.00029388705596665,0.0003539748537645999,0.0003812383861749996,0.0003107552568806013,0.00032092522499786047,0.0005555217848260462,0.0007232597087938435,0.0007204596828700781,1996
44,0.0011241831567828,0.0014609104941231354,0.0012802096887102351,0.0011225726464955401,0.000993897788737619,0.0010453623317789441,0.0005955498354638295,0.000460504499620038,0.0005323503996267483,0.0006265667923842721,0.0004912442201261333,0.0005262774727160495,0.0010564373218512986,0.0008922724003858235,0.0008923783573578023,0.0011485946662776383,0.0011746273519370517,0.0011296778114280206,0.0004536091677836778,0.0002989316416809663,0.0003423909926204455,0.00044274655000949145,0.0003427367237111966,0.00035582185870666007,0.0005316397575389803,0.0007411418185768745,0.0007328775705579987,1997
