,men_sex,women_sex,men_sexuality,women_sexuality,men_freud,women_freud,men_emotions,women_emotions,men_love,women_love,men_gay,women_gay,men_masculinity,women_masculinity,year
0,7.188064805647702e-06,0.0,0.0,0.0,4.189778950717689e-06,0.0,9.114747120951639e-06,1.2640626975097965e-06,5.335552221403057e-05,3.235287750682714e-05,3.315546834645147e-06,0.0,0.0,0.0,1953
1,6.162056255582194e-06,0.0,0.0,0.0,4.1636545933414775e-06,0.0,8.82825570086733e-06,1.2640626975097965e-06,4.9710343604209135e-05,2.8098282544267572e-05,3.7225524286937225e-06,0.0,0.0,0.0,1954
2,6.420228927147383e-06,0.0,0.0,0.0,4.1636545933414775e-06,0.0,8.715645066618292e-06,1.2640626975097965e-06,4.770573096817293e-05,2.3154640068491423e-05,3.5425731744234124e-06,0.0,0.0,0.0,1955
3,9.194555375568072e-06,2.7378507871321012e-05,0.0,0.0,1.0816879227188306e-05,0.0,8.882345296297784e-06,1.2640626975097965e-06,4.929847563843391e-05,1.1083623313949209e-05,4.873080454619235e-06,0.0,0.0,0.0,1956
4,1.365891851719798e-05,3.382097662534755e-05,0.0,0.0,9.221982895449869e-06,0.0,7.963472553603112e-06,1.2640626975097965e-06,6.092770057314945e-05,3.229653398899994e-05,5.186117846738867e-06,0.0,0.0,0.0,1957
5,1.2104238576440961e-05,3.382097662534755e-05,0.0,0.0,8.109773908813275e-06,0.0,8.217498125824156e-06,0.0,5.9267775364105386e-05,3.3042746291916035e-05,5.172460896525825e-06,0.0,3.3560725855390066e-07,0.0,1958
6,1.3699152229005037e-05,4.7455663112494194e-05,2.633651215034988e-07,0.0,1.2210645260887621e-05,0.0,9.202903932049391e-06,0.0,7.84032956305505e-05,3.3042746291916035e-05,2.1165770150561327e-05,0.0,3.3560725855390066e-07,0.0,1959
7,1.4102746717677993e-05,4.7455663112494194e-05,2.633651215034988e-07,0.0,1.2210645260887621e-05,0.0,7.407676138691172e-06,6.374501992031872e-06,8.83150371310314e-05,3.5493726684072895e-05,2.0677751000977564e-05,0.0,3.3560725855390066e-07,0.0,1960
8,1.1943116368000413e-05,2.007715524117318e-05,2.633651215034988e-07,0.0,7.340481934525791e-06,0.0,1.0169172853949972e-05,6.374501992031872e-06,9.01685394850716e-05,4.856562210890949e-05,2.0315522752269868e-05,0.0,3.3560725855390066e-07,0.0,1961
9,1.0200173193117643e-05,3.1169573606310805e-05,5.075111110394017e-07,0.0,9.397331957153978e-06,0.0,1.2928770966873302e-05,6.374501992031872e-06,7.696017844430455e-05,4.032826700337281e-05,2.0180391430412087e-05,0.0,3.3560725855390066e-07,0.0,1962
10,1.1159779664949245e-05,3.1169573606310805e-05,7.400465378116704e-07,0.0,1.0369714324911974e-05,0.0,1.5747160038892515e-05,9.020844746345411e-06,7.824430940456369e-05,5.9963197929945405e-05,1.9637632736787527e-05,0.0,1.1358008986456715e-07,0.0,1963
11,2.2188949540650418e-05,0.00010702280449842783,4.766814163081716e-07,0.0,9.000647335874352e-06,1.449905756125852e-06,1.939601496128512e-05,9.020844746345411e-06,6.19925641353759e-05,7.897012069968925e-05,3.3276489205640216e-06,1.449905756125852e-06,1.1358008986456715e-07,0.0,1964
12,2.285736340837129e-05,0.00010702280449842783,4.766814163081716e-07,0.0,1.0132974085638522e-05,1.449905756125852e-06,2.1717468611817867e-05,3.1312780089481524e-05,4.907048691205149e-05,8.863686460702051e-05,4.163262961159706e-06,1.449905756125852e-06,2.440901177055989e-06,0.0,1965
13,2.7820346878509015e-05,0.00011195670475517437,6.695324292581171e-07,1.161170459823502e-05,1.3845873395734105e-05,1.449905756125852e-06,2.0355240539848874e-05,3.1312780089481524e-05,5.073276144086909e-05,8.298921933309058e-05,3.835819500241495e-06,3.4466311265184085e-06,2.633752190005935e-06,0.0,1966
14,3.137110774758071e-05,0.00012108163932503297,4.2538643972221414e-07,1.161170459823502e-05,1.4537594946181076e-05,1.449905756125852e-06,1.863638579025059e-05,3.803774506735644e-05,4.9750513780150426e-05,7.979448036297713e-05,7.361188913403409e-06,3.4466311265184085e-06,2.826860912147588e-06,0.0,1967
