,years,gini_gender,gini_all_topics,gender_rolling
0,1954,0.7480752771854097,0.8042889025739938,0.0005164581557971493
1,1955,0.7408206906905599,0.7993316670535486,0.0005872330689008523
2,1956,0.7398986904735239,0.7981778154761944,0.0006222597673409944
3,1957,0.7344482031187303,0.7927647121379466,0.0008545578671359362
4,1958,0.7134790830472925,0.7868230931052095,0.0009106514214834266
5,1959,0.7162542498004002,0.7819208736079052,0.0011423038455608615
6,1960,0.7104026769622026,0.7799491033588352,0.0011937566499200043
7,1961,0.7102053661351962,0.7787788438797262,0.0013103172582450417
8,1962,0.7273130624827248,0.7815074541269025,0.0013511571784046439
9,1963,0.7314792561255753,0.7805270218495662,0.0013799455543791045
10,1964,0.7243914041663836,0.7812802172062134,0.0012312138563436935
11,1965,0.746671009170092,0.7815185933973225,0.0013313582712748343
12,1966,0.7364661434601546,0.7807331034849662,0.0015951420763197048
13,1967,0.7261852896749834,0.7758912467867922,0.0017111217991872128
14,1968,0.7320345967255273,0.7724737502221307,0.0024771822948968605
15,1969,0.7293315369635095,0.7669793616586381,0.0029237950916781654
16,1970,0.7355340188288572,0.7646322745564772,0.003623436472446898
17,1971,0.755539459271348,0.7620035173736862,0.004601498164843211
18,1972,0.756286097670476,0.7624640971874125,0.005674862725641571
19,1973,0.7486154286401359,0.7610910019197971,0.0060002514501849204
20,1974,0.75583866773841,0.7610992391345767,0.006293185941161392
21,1975,0.7535865761654504,0.7631548375389138,0.006389378695983776
22,1976,0.7467343087834627,0.763785999099473,0.006528874783081195
23,1977,0.7414921436506432,0.7624053998729999,0.006555681510124765
24,1978,0.7340732488315058,0.7612139877428045,0.006864490308958584
25,1979,0.7255484110027183,0.7557663967122342,0.008403829421561445
26,1980,0.7247166449310345,0.7566416898610084,0.008743087467479154
27,1981,0.7196963886825137,0.755565392572782,0.010963058932979641
28,1982,0.7138497411270189,0.7534961062373393,0.011394355393824265
29,1983,0.7111539590690162,0.7521340473759047,0.012631907074467156
30,1984,0.7178255468833562,0.7516542959437498,0.014071639151662003
31,1985,0.7142138555236993,0.7510676581841202,0.014807838426902257
32,1986,0.7135022312605349,0.7514395096778123,0.014830411380192995
33,1987,0.7044851582938397,0.7458993474868688,0.016491494674511397
34,1988,0.6926271545999307,0.7404789958460147,0.015900182653397713
35,1989,0.6818282198432285,0.7358174329521819,0.017952256632110728
36,1990,0.6715177379068711,0.7280860738517122,0.018770636237300447
37,1991,0.6506305741761066,0.7239262948297667,0.019271940477814685
38,1992,0.6381594639129545,0.7204098051831546,0.01984984653763361
39,1993,0.6253584494540292,0.7152635583050324,0.020475095539153366
40,1994,0.6089545693278607,0.7131487674351079,0.019697688879601095
41,1995,0.6023429872593733,0.7125057320423044,0.01997451465482208
42,1996,0.5941850135149523,0.7097656519683463,0.01901427026072366
43,1997,0.5955068874281447,0.7122180838514449,0.019215370193997865
44,1998,0.6006496779239422,0.7104719295782969,0.019339791978004613
45,1999,0.6057451422009648,0.7106584753926813,0.01964092178109978
46,2000,0.6020096112716394,0.7130344562485907,0.017989640382566195
47,2001,0.6187277743004967,0.7156770299450581,0.01826594858645892
48,2002,0.6266896601490275,0.7169138825484717,0.018104806546482725
49,2003,0.6253379529967954,0.7189506545010084,0.01664161408142839
50,2004,0.6256841085124787,0.7187864337497203,0.01521275602221442
51,2005,0.628223584651418,0.7187252810964867,0.014442958088146631
52,2006,0.6252279728367153,0.7155643469317934,0.013649266399751
53,2007,0.6326465065472046,0.7134802411996367,0.014553188887396928
54,2008,0.6167581771385529,0.7078000238883888,0.013466915566893901
55,2009,0.6279407213725418,0.7060364787565224,0.013627258291957541
