,men_women,women_women,men_gender,women_gender,men_masculinity,women_masculinity,men_gay,women_gay,year
0,0.00010264054242725546,7.924825506884111e-05,0.0,0.0,0.0,0.0,3.315546834645147e-06,0.0,1953
1,0.00011602128690851879,0.00012542986285165775,0.0,0.0,0.0,0.0,3.7225524286937225e-06,0.0,1954
2,0.00012107538829856915,0.0001584404854864234,0.0,0.0,0.0,0.0,3.5425731744234124e-06,0.0,1955
3,0.00012788626988235742,0.0002207680165354645,0.0,0.0,0.0,0.0,4.873080454619235e-06,0.0,1956
4,0.00013288819968392522,0.00025644443068564756,5.343105009913029e-07,0.0,0.0,0.0,5.186117846738867e-06,0.0,1957
5,0.00016138207850869066,0.0002116072554043088,5.343105009913029e-07,0.0,3.3560725855390066e-07,0.0,5.172460896525825e-06,0.0,1958
6,0.00015774376218722236,0.0002268773289698383,5.343105009913029e-07,0.0,3.3560725855390066e-07,0.0,2.1165770150561327e-05,0.0,1959
7,0.00015609299120266049,0.00020902586856933782,5.343105009913029e-07,0.0,3.3560725855390066e-07,0.0,2.0677751000977564e-05,0.0,1960
8,0.00015877671452628223,0.000205194013584862,5.343105009913029e-07,0.0,3.3560725855390066e-07,0.0,2.0315522752269868e-05,0.0,1961
9,0.0001706793537499688,0.0003191996753050299,0.0,0.0,3.3560725855390066e-07,0.0,2.0180391430412087e-05,0.0,1962
10,0.00012172509936475952,0.0003097496130032581,2.05141881253622e-07,0.0,1.1358008986456715e-07,0.0,1.9637632736787527e-05,0.0,1963
11,0.00012504062619069495,0.00031663111531479813,2.05141881253622e-07,0.0,1.1358008986456715e-07,0.0,3.3276489205640216e-06,1.449905756125852e-06,1964
12,0.00012936266481186233,0.00038519757160221477,2.05141881253622e-07,0.0,2.440901177055989e-06,0.0,4.163262961159706e-06,1.449905756125852e-06,1965
13,0.00013258749472963718,0.00034221341481488335,2.05141881253622e-07,0.0,2.633752190005935e-06,0.0,3.835819500241495e-06,3.4466311265184085e-06,1966
14,0.00016006572988846944,0.0009211152655273257,3.9825060339527494e-07,0.0,2.826860912147588e-06,0.0,7.361188913403409e-06,3.4466311265184085e-06,1967
15,0.00016508356235435634,0.00116229932781324,3.2525782332954117e-07,0.0,2.9774543948871648e-06,0.0,7.818277513927088e-06,4.601872456432227e-06,1968
16,0.0002593519114166771,0.0014495132133716256,5.783887363094615e-07,5.020836471356128e-07,3.1126676430812227e-06,0.0,2.321005261244916e-05,3.1519667003063756e-06,1969
